restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
The Pipe Rack,No,No,3.7,38,Kalyan Nagar,Cafe,350,Dine-out
Noodles,Yes,No,3.8,103,Banaswadi,"Chinese, Momos",250,Dine-out
Kabsa House,No,No,3.6,24,Kalyan Nagar,North Indian,250,Dine-out
The Sanctuary,No,No,3.9,62,Banaswadi,"Cafe, Fast Food",225,Dine-out
Cafe Coffee Day,Yes,No,3.6,57,Kalyan Nagar,Cafe,325,Dine-out
Shahi Hyderabadi Dum Biryani,Yes,No,3.1,151,Kalyan Nagar,"North Indian, Biryani",250,Dine-out
Hongkong Noodles,Yes,No,3.8,80,Kalyan Nagar,Chinese,375,Dine-out
The Urban Roof,Yes,No,3.6,80,Kalyan Nagar,"Italian, Chinese, Continental",400,Dine-out
Orchid Wine And Dine,No,No,2.9,10,Banaswadi,"North Indian, Chinese, Mughlai",350,Dine-out
New Kadai,Yes,No,3.5,24,Kalyan Nagar,"North Indian, Chinese",275,Dine-out
Degchi Restaurant,No,No,3.7,103,Banaswadi,North Indian,300,Dine-out
Ana's Midnight Cafe,No,No,3.700497969,0,Banaswadi,"Fast Food, Juices",250,Dine-out
Rasa Cafe,No,No,3.4,6,Kalyan Nagar,"Cafe, American, Italian, Continental",300,Dine-out
XO Cafe,Yes,No,3.700497969,0,Banaswadi,Cafe,150,Dine-out
The White Owl - Resto Cafe,No,No,3.700497969,0,Banaswadi,"Continental, Chinese",275,Dine-out
Tang of Jamaica,No,No,3.4,28,Kalyan Nagar,"American, Mexican, BBQ",450,Dine-out
New Udupi Park,No,No,3,11,Banaswadi,"South Indian, North Indian, Chinese",200,Dine-out
Alibaba Cafe and Restaurant,No,No,2.9,55,Kalyan Nagar,"Arabian, Middle Eastern",350,Dine-out
De3 - The Eatery,No,No,3.1,13,North Bangalore,Fast Food,125,Dine-out
Cafe 7,Yes,No,3.700497969,0,Kalyan Nagar,Street Food,50,Dine-out
Cafe China,Yes,No,3.7,42,Banaswadi,Chinese,250,Dine-out
Shake It,No,No,3.700497969,0,Banaswadi,Beverages,50,Dine-out
Coffee@Arens,Yes,No,3.8,78,Banaswadi,"Cafe, Fast Food",275,Dine-out
Kings Court,Yes,No,3.1,12,Kalyan Nagar,"North Indian, Mughlai, Chinese",400,Dine-out
Paradox Rest-O-Cafe,Yes,No,3.7,124,Kalyan Nagar,"Continental, Steak",300,Dine-out
Taste Of The Nation,No,No,3,110,Banaswadi,North Indian,325,Dine-out
Balaji Biriyani Corner,No,No,3.700497969,0,HBR Layout,"Biryani, South Indian, Chinese",175,Dine-out
Ali Bhai- Rolls and Kebabs,Yes,No,3.700497969,0,Kalyan Nagar,"Rolls, North Indian, Mughlai",150,Dine-out
Oregano Pizzeria,No,No,3.700497969,0,Kalyan Nagar,"Italian, Pizza, Fast Food, Salad",225,Dine-out
Kartik,No,No,3.4,6,Banaswadi,"Chinese, North Indian",350,Dine-out
Urban Bakes & Cafe,No,No,3.7,33,Banaswadi,"Cafe, Bakery",250,Dine-out
T4U Cafe,No,No,3.6,17,Banaswadi,"Chinese, Fast Food, Beverages",200,Dine-out
Irie,No,No,3.3,4,Kalyan Nagar,"North Indian, Chinese",400,Dine-out
The Flavours,No,No,3.2,7,Kalyan Nagar,"Kerala, Chinese, Arabian, Biryani",250,Dine-out
OvenTreats - Patisserie.Bistro,No,No,4,82,Kalyan Nagar,American,500,Dine-out
JamayCafe,No,No,2.8,16,Kalyan Nagar,Cafe,300,Dine-out
Specialist Restaurant,No,No,3.1,9,Kalyan Nagar,"North Indian, South Indian, Chinese",200,Dine-out
Raees Restaurant,No,No,3.3,6,Banaswadi,"Chinese, North Indian, South Indian",250,Dine-out
Hatti Punjab Di,No,No,3.700497969,0,Banaswadi,"North Indian, Chinese",275,Dine-out
Chaai Resto,Yes,No,3.9,97,Kalyan Nagar,"Cafe, Fast Food, Beverages",175,Dine-out
Ammi's Biryani,Yes,No,2.7,171,Kalyan Nagar,"Biryani, North Indian",250,Dine-out
Sugar N Spice,No,No,2.7,16,Kalyan Nagar,"Fast Food, Beverages",200,Dine-out
Pizza Hut,Yes,No,2.7,442,Kalyan Nagar,"Pizza, Fast Food",375,Dine-out
The Chocolate Heaven,Yes,No,4.1,415,Kalyan Nagar,"Desserts, Cafe, Italian, Beverages",350,Dine-out
Mavalli Tiffin Room (MTR),No,No,4.1,208,Kalyan Nagar,South Indian,125,Dine-out
The Feast Fries,Yes,No,3.6,21,Kalyan Nagar,Fast Food,100,Dine-out
K.G.N Kabbab Corner,No,No,4,91,Kalyan Nagar,"North Indian, Kebab",250,Dine-out
Donne Biriyani Mane,No,No,3.8,164,Banaswadi,Biryani,150,Dine-out
Kesar Sweet Shop And Fast Food,No,No,3.9,54,Kalyan Nagar,"North Indian, South Indian, Chinese, Street Food, Mithai",250,Dine-out
Shanghai Times,Yes,No,3.4,10,HBR Layout,Chinese,250,Dine-out
Paratha Singh,Yes,No,4,304,Kalyan Nagar,North Indian,175,Dine-out
Kanthari,Yes,No,3.9,95,Kalyan Nagar,"North Indian, Kerala, Chinese",200,Dine-out
Al Madina Roll House,Yes,No,3.6,16,Kalyan Nagar,Biryani,75,Dine-out
Pooja Dosa Camp,No,No,4,134,Banaswadi,South Indian,100,Dine-out
Chinnu's Mane Biryani,Yes,No,3.5,11,Banaswadi,Biryani,150,Dine-out
Brindavan Veg,Yes,No,3.7,22,HBR Layout,"South Indian, North Indian, Chinese, Street Food",175,Dine-out
Despiwich Dragon's Kitchen,Yes,No,3.8,72,Banaswadi,"Chinese, Fast Food",125,Dine-out
Domino's Pizza,Yes,No,3.5,383,Kalyan Nagar,"Pizza, Fast Food",200,Dine-out
Dhadoom,Yes,No,3.8,26,Kalyan Nagar,Fast Food,200,Dine-out
Mangalore Lunch Home,Yes,No,3.2,35,HBR Layout,"Mangalorean, Seafood",150,Dine-out
Chaat Street,Yes,No,4,498,Kalyan Nagar,"Street Food, North Indian",125,Dine-out
Donne Biryani Kuteera,Yes,No,3.8,301,Banaswadi,Biryani,100,Dine-out
Matru Sagar,Yes,No,4,332,Kalyan Nagar,"South Indian, North Indian, Chinese",150,Dine-out
Sri Banashankari Donne Biriyani,Yes,No,3.7,80,Banaswadi,Biryani,75,Dine-out
Lakeview Milkbar,No,No,2.9,19,Kalyan Nagar,"Desserts, Fast Food, Beverages",225,Dine-out
Al Barack Cafetaria,No,No,3.6,20,Banaswadi,Arabian,150,Dine-out
Ambujam's Chettinad Mess,Yes,No,3.2,27,Banaswadi,"South Indian, Chettinad",200,Dine-out
Vijayalaxmi Veg,Yes,No,3.700497969,0,Banaswadi,"North Indian, South Indian, Chinese, Fast Food",100,Dine-out
Leon Grill,Yes,No,4.2,398,Kalyan Nagar,"Burger, Fast Food",250,Dine-out
Kenny's Restaurant,Yes,No,3.7,87,Banaswadi,Chinese,225,Dine-out
Oye Hoye,Yes,No,3.8,69,Kalyan Nagar,North Indian,150,Dine-out
Upsouth,Yes,No,3.8,59,Banaswadi,South Indian,150,Dine-out
Subway,Yes,No,4,209,Kalyan Nagar,"Healthy Food, Sandwich, Salad",250,Dine-out
Srinidhi Upachar,No,No,3.6,70,Banaswadi,"South Indian, Chinese",100,Dine-out
Momma's Pastries Fine Bakery And Cafe,Yes,No,3.4,10,Banaswadi,"Bakery, Desserts, Fast Food",250,Dine-out
De Grand Restaurant,Yes,No,3.9,268,Banaswadi,"North Indian, Chinese",300,Dine-out
Srinidhi Veg Food Court,Yes,No,3.9,100,Kalyan Nagar,"Chinese, North Indian, South Indian",150,Dine-out
Gowdru Hotel,Yes,No,3.5,78,Banaswadi,South Indian,200,Dine-out
American Bites,Yes,No,2.4,48,Kalyan Nagar,"Fast Food, Burger, Pizza",225,Dine-out
Coffee Thindi,No,No,3.5,15,Banaswadi,South Indian,75,Dine-out
Zabi,Yes,No,3.8,173,HBR Layout,Biryani,150,Dine-out
Chintu Chit Chat Centre,No,No,3.6,16,Banaswadi,Street Food,50,Dine-out
Biswal's Food Circle,No,No,3.700497969,0,Banaswadi,"Chinese, North Indian",175,Dine-out
Goli Vada Pav No.1,No,No,3.700497969,0,Banaswadi,Street Food,100,Dine-out
Cafe Nukkad,Yes,No,4,91,Kalyan Nagar,Fast Food,100,Dine-out
Upahara Mandira,Yes,No,3.9,28,HBR Layout,"South Indian, North Indian, Chinese",150,Dine-out
Eagles Pizza,Yes,No,3.8,22,Kalyan Nagar,"Pizza, Italian",325,Dine-out
Vietnamese Kitchen,No,No,3.2,9,Kalyan Nagar,Vietnamese,75,Dine-out
Kanti Sweets,Yes,No,3.8,96,Banaswadi,"Mithai, Street Food",200,Dine-out
Al-Baik Kabab Centre,No,No,3.700497969,0,Banaswadi,"Biryani, Chinese, Kebab",150,Dine-out
Indie Fusion Multi Cuisine Restaurant,Yes,No,3.3,4,Kalyan Nagar,"Fast Food, Arabian, North Indian",200,Dine-out
29 Degrees North,Yes,No,3.9,287,Banaswadi,"North Indian, Fast Food, Street Food",125,Dine-out
Fatty Chang,Yes,No,3.2,4,HBR Layout,Chinese,150,Dine-out
Shiva's Naram Garam,No,No,3.3,4,Banaswadi,"North Indian, Chinese",125,Dine-out
SGS Nonveg- Gundu Palav,No,No,3.6,25,Kalyan Nagar,"Biryani, Fast Food",200,Dine-out
The French Corner,No,No,3.5,11,Kalyan Nagar,"Bakery, Desserts, Fast Food",200,Dine-out
North Se South Veg & Non-Veg Restaurants,Yes,No,3.6,18,Banaswadi,"South Indian, North Indian, Chinese",125,Dine-out
Biryani Paradise,No,No,3.700497969,0,Banaswadi,"Biryani, Fast Food",100,Dine-out
7 to 11 Food Court,Yes,No,3.7,18,Banaswadi,"Fast Food, Burger, North Indian, South Indian",100,Dine-out
California Burrito,No,No,3.4,24,Banaswadi,"Mexican, Fast Food",200,Dine-out
Yi Moi Chinese Fast Food,No,No,3.4,5,Kalyan Nagar,Chinese,50,Dine-out
Twilight Global Restaurant,Yes,No,3.6,37,Kalyan Nagar,"North Indian, Chinese",300,Dine-out
Chikpet Donne Biriyani Corner,Yes,No,3.7,8,Kalyan Nagar,"Biryani, North Indian",150,Dine-out
Malabar Food Court,Yes,No,3.4,10,HBR Layout,"Kerala, South Indian",150,Dine-out
S L V Food Joint,Yes,No,3.5,16,Kalyan Nagar,"North Indian, Rolls",125,Dine-out
Balle Balle Dhaba,Yes,No,3.6,199,Kalyan Nagar,"North Indian, Chinese",250,Dine-out
Udupi Gardenia,Yes,No,3.3,21,Banaswadi,South Indian,200,Dine-out
Cake House - Story Cafe,No,No,3.8,79,Kalyan Nagar,"Bakery, Desserts",325,Dine-out
Venky's Xprs,Yes,No,3.7,37,Kalyan Nagar,"Fast Food, Raw Meats",200,Dine-out
Pizza Stop,Yes,No,3.8,153,Banaswadi,"Pizza, Italian",250,Dine-out
Cafe 99 Kerala Mess,Yes,No,4,154,Kalyan Nagar,"Kerala, Biryani, Seafood, North Indian",250,Dine-out
Papanna's Biriyani,No,No,3.7,39,Banaswadi,"South Indian, Biryani",175,Dine-out
WOW! Momo,Yes,No,2.8,40,Banaswadi,"Tibetan, Momos",200,Dine-out
Curries & Chillies,No,No,3,20,Banaswadi,"Biryani, Andhra",150,Dine-out
Sri Devi Sagar,No,No,3.7,161,Banaswadi,"South Indian, North Indian, Chinese, Street Food",150,Dine-out
Hyderbadi Irani Tea,No,No,3.4,10,Banaswadi,Beverages,50,Dine-out
Raghavendra Bhavan,No,No,3.2,4,Banaswadi,"South Indian, North Indian, Chinese",125,Dine-out
T-hut Cafe,Yes,No,3.6,21,Banaswadi,"Chinese, Beverages",150,Dine-out
Cafe P Square,Yes,No,3.8,27,Kalyan Nagar,"Street Food, Beverages, Fast Food",125,Dine-out
Udupi Sri Krishna Cafe,Yes,No,3.8,22,Banaswadi,"South Indian, North Indian",100,Dine-out
Wood Fire Pizza,Yes,No,3.1,4,HBR Layout,Pizza,175,Dine-out
Reddy's Naati Mane,No,No,3.4,15,Banaswadi,"South Indian, BBQ",200,Dine-out
New Udupi Upahara,No,No,3.7,85,Kalyan Nagar,"Chinese, North Indian, South Indian",100,Dine-out
Rolls On Wheels,No,No,2.8,69,Banaswadi,"Fast Food, Rolls, Momos",150,Dine-out
Hotel Prameela Veg,No,No,3.700497969,0,Banaswadi,South Indian,50,Dine-out
BS Kolkatta Chats,No,No,3.700497969,0,Kalyan Nagar,Street Food,50,Dine-out
IFun Burgers N More,No,No,3.700497969,0,Banaswadi,Fast Food,150,Dine-out
Jwala Indian & Chinese Fast Food,No,No,3.700497969,0,Kalyan Nagar,North Indian,100,Dine-out
Hotel Chirag,No,No,3.700497969,0,Banaswadi,South Indian,125,Dine-out
Bismillah Kabab Center,Yes,No,3.700497969,0,HBR Layout,"Kebab, Fast Food",100,Dine-out
AL Afreen's Biryani Paradise,No,No,3.700497969,0,Kalyan Nagar,"North Indian, Biryani, Chinese",100,Dine-out
Taste Of Andhra,No,No,3.700497969,0,Kalyan Nagar,"Andhra, South Indian",150,Dine-out
Halli Mane Hotel,No,No,3.700497969,0,Kalyan Nagar,South Indian,150,Dine-out
Meat And Eat,Yes,No,3.2,34,Banaswadi,"Fast Food, Burger",250,Dine-out
Kasturi Vihar,No,No,3.700497969,0,Banaswadi,"South Indian, Chinese",100,Dine-out
Madurai Idly Dosai Centre,No,No,3.3,16,Banaswadi,South Indian,75,Dine-out
Aahara,No,No,3.700497969,0,Banaswadi,"Modern Indian, Biryani",150,Dine-out
M.M.A Kabab Rolls & Biriyani Center,Yes,No,3.7,95,Banaswadi,"Arabian, Mughlai, Chinese, Kebab, Fast Food",200,Dine-out
New York Burrito,No,No,3.1,7,Banaswadi,Mexican,200,Dine-out
Chetty's Coffee,No,No,3.5,87,Kalyan Nagar,South Indian,75,Dine-out
The Fresh 'N' Grill,No,No,3.700497969,0,Banaswadi,Fast Food,75,Dine-out
Nutri Fit,No,No,3.700497969,0,Banaswadi,North Indian,150,Dine-out
Lenny's Kitchen,Yes,No,3.700497969,0,Banaswadi,"Chinese, Italian",150,Dine-out
Sai Bhavan Veg & Non Veg,Yes,No,3.2,11,Banaswadi,"Mughlai, Chinese, South Indian",200,Dine-out
Christy's Chicken Biryani,No,No,3.700497969,0,Banaswadi,Biryani,100,Dine-out
Spice Room,No,No,3.700497969,0,Kalyan Nagar,Andhra,200,Dine-out
Famous Kabab Center,Yes,No,3.700497969,0,HBR Layout,Kebab,75,Dine-out
Taste The Flame,No,No,3.700497969,0,Banaswadi,"Arabian, North Indian, Biryani, Kebab",200,Dine-out
Sapna's Kitchen,No,No,3.700497969,0,Banaswadi,"Chinese, North Indian, South Indian",200,Dine-out
Razakhiya Hotel,No,No,3.700497969,0,HBR Layout,"Biryani, Kebab",125,Dine-out
Reddy's Corner Restaurant,No,No,3.700497969,0,Banaswadi,"North Indian, Chinese",150,Dine-out
Ambur Hot Dum Biriyani,No,No,3.700497969,0,Kalyan Nagar,Biryani,60,Dine-out
Sri Nandi Dosa Mane,No,No,3.700497969,0,Banaswadi,South Indian,75,Dine-out
New Udupi Grand,No,No,3.3,5,HBR Layout,"North Indian, South Indian, Chinese",100,Dine-out
Bhuvaneshwari Mess,No,No,3.700497969,0,Kalyan Nagar,"South Indian, North Indian, Biryani",125,Dine-out
Biriyummy,No,No,3.3,6,Banaswadi,"Biryani, Kebab",125,Dine-out
Sri Datta Biryani House,No,No,3.5,54,Banaswadi,"Andhra, Biryani, Chinese, North Indian",150,Dine-out
Panchamukhi Sagar,No,No,3.2,4,Banaswadi,"North Indian, South Indian, Chinese",150,Dine-out
Hungry Bite Cafe,No,No,3.700497969,0,Banaswadi,"Fast Food, Beverages",150,Dine-out
Al Aziz Durbar,No,No,3.700497969,0,Banaswadi,"Arabian, Mughlai",175,Dine-out
Delish Chinese Fast Food,Yes,No,3.2,4,Banaswadi,"Chinese, North Indian, Biryani",150,Dine-out
Curries & Chillies,Yes,No,3.1,13,Kalyan Nagar,Andhra,200,Dine-out
Best B Restaurant,No,No,3.5,12,HBR Layout,"South Indian, North Indian, Chinese, Kerala",200,Dine-out
New Ruchi Veg Non Veg,No,No,3.700497969,0,Banaswadi,Fast Food,75,Dine-out
Curries & Pickles,No,No,3.700497969,0,Banaswadi,Andhra,100,Dine-out
Sri Krishna,No,No,3.700497969,0,Banaswadi,Fast Food,150,Dine-out
S-Aachies Hotel,No,No,3.2,6,Banaswadi,"South Indian, Chinese, Biryani",150,Dine-out
Hotel Gowdru Mane,No,No,3.700497969,0,Banaswadi,"South Indian, Mangalorean, Chinese, Juices",200,Dine-out
Leela's Kitchen,No,No,3.8,104,Banaswadi,"Kerala, South Indian, North Indian, Chinese",200,Dine-out
Udupas Veg Restaurant,No,No,3.2,11,Banaswadi,"South Indian, North Indian",150,Dine-out
Bismilla Kabab & Biryani Centre,No,No,3.2,4,Kalyan Nagar,"North Indian, Chinese",150,Dine-out
Mazedaar,No,No,3.2,10,HBR Layout,"North Indian, Chinese",150,Dine-out
Sri Krishna Bhavan,No,No,3.4,14,Kalyan Nagar,"South Indian, North Indian",125,Dine-out
Turf's Up,No,No,3.700497969,0,HBR Layout,Fast Food,150,Dine-out
New Udupi Grand,No,No,3.700497969,0,Kalyan Nagar,"North Indian, South Indian, Chinese",150,Dine-out
Leung Fast Food,No,No,3.5,13,Banaswadi,"Chinese, Fast Food, Seafood, Momos",200,Dine-out
Paper Cup Cafe,No,No,3.5,11,Kalyan Nagar,"Tea, Coffee, Fast Food",200,Dine-out
Indira Canteen,No,No,3.700497969,0,Banaswadi,South Indian,150,Dine-out
Zam Zam Restaurant,No,No,3.1,7,Banaswadi,"Chinese, North Indian",200,Dine-out
Parantha Singh,No,No,3.6,33,Kalyan Nagar,North Indian,150,Dine-out
Ahmad's Chicken Hut,No,No,3.2,9,Banaswadi,"North Indian, Chinese",100,Dine-out
Crunchees Cafeteria,No,No,3.4,11,Kalyan Nagar,Fast Food,200,Dine-out
Sri Banasankri Donne Biriyani,No,No,3.4,6,Kalyan Nagar,Biryani,200,Dine-out
Juba Cafe,No,No,3.4,13,Kalyan Nagar,Juices,50,Dine-out
Karnataka Biryani Corner,No,No,3.700497969,0,Banaswadi,"Biryani, Chinese",125,Dine-out
Khan's,No,No,3.700497969,0,HBR Layout,"Biryani, Kebab",100,Dine-out
7 Spice,No,No,3.4,5,Banaswadi,"Biryani, Chinese",125,Dine-out
Hotel New Karthik,No,No,3.700497969,0,Banaswadi,"South Indian, Biryani",150,Dine-out
Al Madhina Roll House,No,No,3.4,6,Kalyan Nagar,"North Indian, Chinese",150,Dine-out
Lakshmi Bhavan Vegetarian,No,No,3.700497969,0,Kalyan Nagar,South Indian,50,Dine-out
Cafe Qissa,No,No,3.3,5,Kalyan Nagar,"Burger, Cafe, Drinks Only, Juices",50,Dine-out
Yamiez Chinese,No,No,3.700497969,0,Kalyan Nagar,Chinese,100,Dine-out
Ruchi Food Plaza,No,No,3.700497969,0,Kalyan Nagar,"North Indian, South Indian",75,Dine-out
Hotel Dharshan,No,No,3.700497969,0,Kalyan Nagar,South Indian,75,Dine-out
Black Pepper,No,No,3.700497969,0,Banaswadi,"North Indian, South Indian, Biryani",100,Dine-out
Meat Up Barbecue & More,No,No,3.7,17,Kalyan Nagar,"BBQ, Fast Food",200,Dine-out
Samosa Singh,No,No,3.700497969,0,Kalyan Nagar,"North Indian, Mithai",125,Dine-out
Heaven Biryani And Shawarma,No,No,3.700497969,0,Banaswadi,"North Indian, Chinese, Biryani",175,Dine-out
Ambur Khousia Biryani Corner,No,No,3.700497969,0,Banaswadi,Biryani,50,Dine-out
Hong Kong Noodle,No,No,3.700497969,0,Banaswadi,"Chinese, Seafood",200,Dine-out
Cafeteria Al - Falah,No,No,3.3,5,Banaswadi,"Fast Food, North Indian",150,Dine-out
Ranga's Paradise,No,No,3.3,38,Banaswadi,South Indian,75,Dine-out
Chaitra Restaurant,Yes,No,3.7,37,Kalyan Nagar,"North Indian, Chinese",350,Dine-out
Paranthas and Dosas,No,No,3.7,300,Kalyan Nagar,"North Indian, South Indian",200,Dine-out
Naina Nand Food Express,Yes,No,3.4,9,HBR Layout,"North Indian, Chinese",150,Dine-out
Chickpet Donne Biriyani Mane,Yes,No,3,19,Kalyan Nagar,"Biryani, Kebab",175,Dine-out
The Bridge Walk Cafe,No,No,3.8,74,Kengeri,"Cafe, Continental",250,Dine-out
Altaf's Chillies Restaurant,Yes,No,3.9,237,Frazer Town,"North Indian, Chinese",250,Dine-out
Sanky's Burger House,Yes,No,4.3,345,Hennur,"Burger, Fast Food",150,Dine-out
Sunny Side Bistro,Yes,No,3.8,365,Frazer Town,"Cafe, Continental",350,Dine-out
Al-Baik Tandoori Restaurant,Yes,No,3.7,117,Nagawara,"North Indian, Chinese, Arabian, Biryani, Rolls",225,Dine-out
Sultan - Palace Darbar Restaurant,No,No,3.2,7,Nagawara,"North Indian, Chinese",200,Dine-out
Hennuru Cafe & Restaurant,No,No,3.700497969,0,Hennur,"South Indian, Fast Food, Kerala, Beverages",100,Dine-out
Cafe Jezve,No,No,3.8,18,Koramangala 5th Block,Cafe,250,Dine-out
Sulemani Chichas,Yes,No,3.700497969,0,Hennur,"Biryani, Hyderabadi, Kebab",150,Dine-out
SV Indian Restaurant,No,No,3.4,12,Hennur,"North Indian, Chinese",200,Dine-out
Hotel Zam Zam,Yes,No,3.2,37,Hennur,"North Indian, Chinese",150,Dine-out
Hotel New Karavali,Yes,No,3.5,8,Hennur,"Chinese, Mangalorean, Seafood, North Indian",275,Dine-out
Shammah's,No,No,3.3,21,Hennur,"Chinese, North Indian",150,Dine-out
Just Protein,Yes,No,3.4,5,North Bangalore,"Chinese, Fast Food",175,Dine-out
Bismillah Hotel,No,No,3.700497969,0,Hennur,"Biryani, North Indian, Kebab",125,Dine-out
Keral Kitchen,No,No,3.700497969,0,Frazer Town,"South Indian, Kerala",150,Dine-out
Sandesh Restaurant,Yes,No,2.9,4,Hennur,"Biryani, Chinese, North Indian, Bengali",175,Dine-out
Bilal Kabab Corner,No,No,3.700497969,0,Nagawara,"Mughlai, Chinese",150,Dine-out
Jai Karnataka Biryani Paradise,No,No,3.700497969,0,Nagawara,North Indian,75,Dine-out
Hariharan Tiffen Centre,No,No,3.700497969,0,Nagawara,South Indian,100,Dine-out
Ambur Hot Dum Biryani,No,No,3.1,6,Hennur,"Biryani, Kebab",125,Dine-out
New Udupi Park Deluxe,No,No,3.6,77,Hennur,"South Indian, North Indian, Chinese",200,Dine-out
FM Biryani Plaza,No,No,3.700497969,0,Hennur,Biryani,75,Dine-out
Mini Fast Food,No,No,3.1,11,Frazer Town,"Fast Food, Chinese",75,Dine-out
Masaala Town,No,No,3.700497969,0,Nagawara,"Biryani, Fast Food",125,Dine-out
Hiya Bismillah Hotel,No,No,3.700497969,0,Nagawara,"North Indian, Biryani",100,Dine-out
Feel The Taste,No,No,3.700497969,0,Hennur,Beverages,150,Dine-out
New Prashanthi Donne Biryani,No,No,3.2,6,Frazer Town,Biryani,150,Dine-out
Hotel AL-Zaioa,No,No,3.700497969,0,Hennur,"Biryani, Chinese, North Indian",200,Dine-out
Krishna Leela Grand,No,No,3.700497969,0,Hennur,"South Indian, North Indian, Chinese",100,Dine-out
Hotel Sri Devi (Veg & Non Veg),No,No,3.700497969,0,Hennur,"Biryani, South Indian",150,Dine-out
RBN Fast Food,No,No,3.700497969,0,Hennur,"South Indian, Fast Food",150,Dine-out
Bangalore Vibes,Yes,No,3.2,4,Hennur,"North Indian, Chinese",150,Dine-out
Vijayalakshmi Veg,Yes,No,3.9,34,Nagawara,South Indian,75,Dine-out
Silver Spoon Restaurant,Yes,No,3.2,55,Hennur,"North Indian, Chinese, Continental",200,Dine-out
Thalassery Plaza,Yes,No,3.5,33,Hennur,"Kerala, North Indian, Chinese",200,Dine-out
The Local,Yes,Yes,4.2,1198,Kalyan Nagar,"Finger Food, Continental, Italian, Salad",700,Drinks & nightlife
Float Brewery,No,Yes,4.3,419,Kalyan Nagar,European,900,Drinks & nightlife
Brewklyn Microbrewery,Yes,Yes,4.5,2330,Kalyan Nagar,"American, Continental, Pizza",1000,Drinks & nightlife
Twins,No,No,3.8,139,Kammanahalli,"North Indian, Chinese, Continental",250,Drinks & nightlife
H3O,No,No,3.1,12,Kammanahalli,"North Indian, Chinese",500,Drinks & nightlife
Davis Bar And Restaurant,No,No,3,31,Kammanahalli,"North Indian, Finger Food, Chinese",350,Drinks & nightlife
Hoppipola,Yes,Yes,4.4,815,Kalyan Nagar,"Continental, Fast Food, European",600,Drinks & nightlife
Wanderers,No,Yes,4,661,Kalyan Nagar,"Continental, North Indian, South Indian, Italian",750,Drinks & nightlife
Sherlock's Pub,Yes,Yes,3.8,361,Kalyan Nagar,"Continental, North Indian, Chinese, Italian",650,Drinks & nightlife
FireHouse - Bar & Kitchen,Yes,Yes,3.9,753,HBR Layout,"Continental, American, Chinese, BBQ, Salad, Italian",750,Drinks & nightlife
Pecos Mojo,No,No,4,159,Banaswadi,Finger Food,550,Drinks & nightlife
Bottoms Up Resto Bar,Yes,No,3.9,248,Kalyan Nagar,"Finger Food, Italian, Continental",600,Drinks & nightlife
Fiddler's Green,No,Yes,3.9,74,Kalyan Nagar,"Continental, American, Indonesian, Asian, Thai",600,Drinks & nightlife
Agent Jack's Bar,No,Yes,4,377,Kalyan Nagar,"Continental, North Indian, Italian",650,Drinks & nightlife
Knowhere,No,No,3.8,52,Banaswadi,"Continental, Finger Food",650,Drinks & nightlife
The Sky Lounge - Tamarind Hospitality,No,No,3.7,100,Banaswadi,"North Indian, South Indian, Chinese, Continental",600,Drinks & nightlife
Sultans of Spice,Yes,Yes,4.5,3468,Koramangala 5th Block,"North Indian, Mughlai, Salad",650,Buffet
Buff Buffet Buff,Yes,Yes,4.5,3156,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",750,Buffet
The Black Pearl,No,Yes,4.7,10471,Koramangala 5th Block,"North Indian, European, Mediterranean",700,Buffet
Onesta,Yes,Yes,4.4,9064,Koramangala 4th Block,"Pizza, Cafe, Italian",300,Buffet
Hanoi - Vietnamese Cuisine,Yes,Yes,4.4,1804,Koramangala 4th Block,Vietnamese,500,Buffet
Banjara Melting Pot,Yes,Yes,4.2,767,Koramangala 4th Block,"North Indian, Chinese, Seafood",850,Buffet
Cilantro,Yes,Yes,4,281,Koramangala 4th Block,"European, American, Continental, North Indian, Steak",750,Buffet
China Down Town,Yes,No,3.5,5,Koramangala 4th Block,Chinese,400,Buffet
XOOX Brewmill,No,Yes,4.4,1555,Koramangala 5th Block,"Modern Indian, European, Asian",1000,Buffet
Boho,No,Yes,4.2,1741,Koramangala 5th Block,"Continental, Asian, American, North Indian, Desserts",600,Buffet
Foxtrot - House of Subculture,No,Yes,4.4,369,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",500,Buffet
Asia Kitchen By Mainland China,Yes,Yes,4.9,2215,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",750,Buffet
Barbeque Nation,No,Yes,4.7,3617,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",800,Buffet
Punjab Bistro,Yes,Yes,4.4,457,Koramangala 7th Block,North Indian,750,Buffet
Bonsouth,Yes,Yes,4.2,2620,Koramangala 5th Block,"Chettinad, Andhra, Kerala",650,Buffet
By The Blue - Grand Mercure,No,Yes,4.1,786,Koramangala 3rd Block,"North Indian, Mughlai",750,Buffet
Toscano,Yes,Yes,4.5,717,Koramangala 7th Block,"Italian, Salad",750,Buffet
Barleyz,No,No,3.8,4646,Koramangala 6th Block,"North Indian, Continental, Chinese",1000,Buffet
Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,679,Koramangala 7th Block,"North Indian, Mughlai, Biryani",750,Buffet
