restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Roll Magic Fast Food,No,No,3.700497969,0,Banashankari,"Biryani, Rolls, Chinese",100,Delivery
Foodlieious Multi Cuisine,No,No,3.700497969,0,Banashankari,North Indian,50,Delivery
Thanishka Nati And Karavali Style,No,No,3.700497969,0,Banashankari,"Biryani, Fast Food",200,Delivery
Swathi Cool Point,No,No,3.700497969,0,Banashankari,"Beverages, Juices",100,Delivery
Kaumudis Juoice,No,No,3.700497969,0,Banashankari,"Beverages, Fast Food, Juices",75,Delivery
Amma - Manae,No,No,3.700497969,0,Banashankari,South Indian,200,Delivery
Sri Sai Tiffannies,No,No,3.700497969,0,Banashankari,"South Indian, Chinese",75,Delivery
Hotel Andhra Speices,No,No,3.700497969,0,Banashankari,Andhra,125,Delivery
Sri Murari Family Restaurant,No,No,3.700497969,0,Banashankari,Biryani,125,Delivery
Aramane Donne Biriyani,No,No,3.700497969,0,Banashankari,"South Indian, Biryani",75,Delivery
Darkolates,No,No,3.700497969,0,Banashankari,Desserts,100,Delivery
Swaada Healthy Kitchen,No,No,3.700497969,0,Banashankari,"Healthy Food, Juices, Sandwich",175,Delivery
Gawdaru Mane Beriyani,No,No,3.700497969,0,Banashankari,"South Indian, Biryani",150,Delivery
Melting Melodies,No,No,3.700497969,0,Banashankari,"Pizza, Fast Food",50,Delivery
New Indraprasta,No,No,3.700497969,0,Banashankari,"South Indian, Beverages",75,Delivery
Anna Kuteera,Yes,No,4,771,Banashankari,"South Indian, North Indian, Chinese",225,Delivery
Darbar,No,No,3,98,Banashankari,"North Indian, Chinese",400,Delivery
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,South Indian,100,Delivery
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,"South Indian, North Indian, Chinese, Beverages",250,Delivery
Udupi Upahar,Yes,No,3.8,58,Banashankari,"South Indian, Chinese, North Indian, Juices",150,Delivery
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",325,Delivery
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",200,Delivery
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"North Indian, Mughlai, Fast Food",250,Delivery
KFC,Yes,No,3.8,505,Banashankari,"Burger, Fast Food",225,Delivery
Bitez,No,No,3.700497969,0,Banashankari,Fast Food,50,Delivery
Roll Over,Yes,No,4.1,438,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",250,Delivery
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,"North Indian, Chinese, Biryani, Beverages",375,Delivery
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",75,Delivery
The Fortuna,Yes,No,3,67,Kumaraswamy Layout,"North Indian, Chinese",125,Delivery
Wahab,Yes,No,3.7,97,Jayanagar,"North Indian, Mughlai, Chinese",175,Delivery
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,Biryani,150,Delivery
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Biryani,150,Delivery
Canton,Yes,No,3.6,195,Jayanagar,"Chinese, Seafood, Biryani",400,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Desserts, Mithai",150,Delivery
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,"Cafe, Beverages",200,Delivery
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,"South Indian, Chinese",75,Delivery
Patio 805,Yes,Yes,4.1,364,Jayanagar,"Thai, Vietnamese, Asian, Chinese",600,Delivery
Lassi Corner,Yes,No,3.7,107,Basavanagudi,"Beverages, Ice Cream",75,Delivery
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",150,Delivery
Kanti Sweets,Yes,No,4,115,Banashankari,"Mithai, Street Food",200,Delivery
Vegetalia,Yes,No,3.7,27,Banashankari,"Italian, Pizza",200,Delivery
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Biryani,100,Delivery
Ande Ka Funda,Yes,No,3.8,120,Banashankari,"North Indian, Fast Food, Rolls",125,Delivery
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,200,Delivery
Energy Addaa,Yes,No,4.2,64,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",250,Delivery
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,South Indian,75,Delivery
Tandoori Knight,Yes,No,3,290,Banashankari,"North Indian, Chinese, Biryani, Kebab",225,Delivery
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Street Food,100,Delivery
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,"Fast Food, Pizza",125,Delivery
Paradise Premium,Yes,No,3.1,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",350,Delivery
Grazers,Yes,Yes,3.9,291,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",325,Delivery
Shakes Theory,Yes,No,4.5,155,Jayanagar,"Beverages, Sandwich",150,Delivery
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Italian,350,Delivery
Chilli Flakes,Yes,No,3.6,46,Banashankari,"Fast Food, Italian, Beverages",250,Delivery
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",175,Delivery
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Ice Cream,75,Delivery
Donne Biriyani House,Yes,No,3.9,441,Banashankari,"South Indian, North Indian, Chinese, Biryani",200,Delivery
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,South Indian,50,Delivery
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,"North Indian, Street Food, Juices",100,Delivery
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,South Indian,75,Delivery
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Arabian,150,Delivery
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,North Indian,175,Delivery
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,South Indian,50,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,250,Delivery
Gokul Veg,Yes,No,3.8,469,Basavanagudi,"North Indian, Chinese, Beverages",375,Delivery
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",275,Delivery
Udupi Ruchi,Yes,No,3.9,57,Banashankari,"South Indian, North Indian, Chinese, Street Food",100,Delivery
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,South Indian,150,Delivery
Gama Gama,Yes,No,3.9,264,Banashankari,South Indian,100,Delivery
The Vintage Cafe,Yes,No,3,62,Banashankari,"Cafe, French, North Indian",200,Delivery
Pizza Hut,Yes,No,3.8,693,Banashankari,"Pizza, Fast Food",375,Delivery
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",325,Delivery
